clean_text,label,sentiment
manya pradhan mantri mahoday shriman narendra modi ji pradhanmantri bann par hardik badhai tahe dil,2,neutral
krishna jcb full trend chal rahi aa,2,neutral
loksabha janta sirf modi ko vote de rahi thi na ki kisi mp bjp ko without,2,neutral
bhosdik tum pechvad ki tatti hi rahog bc,0,negative
love u bhaijan father son bharat iambharat bharatthiseid best pic entir promot mashallah,2,neutral
tumhara pass abh deemagh hai nahi islea googl ko apna deemagh banaya hua hai har koi tumhari tarh,0,negative
nolo weni anker gae weekend,2,neutral
aimim lage raho mullo tumhr issi quran faad gyan ki kayal hain duniya allah bhi khus,0,negative
omer muhammadpti pakhtoon k haqooq ki jang nahi punjab k haqooq ki jung pak,0,negative
ye sale desh ke kabhi sage nahin ho sakt ye gaddar hain ink sath kadi se kadi kanun,0,negative
saf babi sorri onlin hope sleep well though love,2,neutral
real life k log chor diy hain mene alreadi jo snake thi ab internet k chorn hain m sad reason solmon,0,negative
mohsin dawartweet daikho aur kuch kha ker mar jao bayghayrat insantum aur ali wazir harami ho pakistan,0,negative
kuch media channel dikh rahe hai ki ink upar kai prakaar ke crimin case hai shame type media channel,0,negative
abe mc nhi malum ammi mat chuda bsdk grahm stain ko dara singh ne mara tha adivasiy,0,negative
well chara chor ke chele news year old,0,negative
twitter k baghair apna roza mumkin nahi hota apna chutiyaap dusron per thopna band karo bhai,2,neutral
oh haha soldier read american god hardi har har thank remind everyon clusterfuck,0,negative
mp govt kamalnath ki h wese ek video viral h jism aapk shantidut bhai ek dukandar,0,negative
dev da tmr new movi song ami tmk valobasi realli love lot,1,positive
abe bc kya le jayeng yeh toh batah abhi pakvwi babaji ka thullu,2,neutral
hope see babi weekend high doubt ugh,1,positive
teri ka sakinaka tujh bhadi chinta ho rahi aaj ab 2014 se pehl bhadv log beth tab tu dudh,0,negative
isko zammen chayiy bus dogma hai ye kabhi akhilesh ki tareef karta hai aur kabhi rahul pm dikh,1,positive
jai shri ram jai shri krishna jai bajrang bali jai bholenath hum log boln lage rukeng nahi,0,negative
rao hindi tumhari bass ki nahi nahi seekh paog dart ho kahin hindi mark hi nahi,0,negative
hamyat tu khota khor corrupt ganj ki bhi kert thi kia ukhar lia unhon ne lanat tere te patwari,0,negative
io sale today nxttakeoverxxv entranc mask qualiti nice even back side come soon,2,neutral
ch1 pakeeza languag ka istema tu koi nooni bhayoon se poochhay youthi pe aewen e critic kart hain yeh bhi sahb,1,positive
gulwish nahi wo news ko defend kern ki koshesh ker rhe hain,1,positive
murali noon care boycott world cup till nesamani recov attack krishnamurthi arrest,1,positive
ahmad884 1971 lulli hoti nahi khadi baten karalo badi badi,1,positive
dho diya ashkenadamat ne gunahon ko meray tar hua daman baar paak daman ho gaya momin khan momin,1,positive
beta nafrat tum jais jahil illiter failat hain pata nhi kon si phd chal rhi h,0,negative
one favorit anoth one begin movi chhotichhoti chitrayi yaadein,2,neutral
mansoor ali tera nam taray ander ki jalan btaa raha hai sari duniya main oil price,0,negative
jai bheem great news bahujan kumbkarnaa becoz happen kick st,1,positive
u love one person gave fuck u dead,1,positive
zaini en ki zalalat ki daastano se tareekh k aoraaq bhare pare hai behna ye ais nahi samaj,2,neutral
color tum india wale sari yahi sochti ho ki pakistan wale atankistan h par nhi kuch log lagti h thik pakistani bhuta achi h,2,neutral
rohit bhai big fan want meet,2,neutral
lanat bhejta hn tun pe tmare harami leader niazi pe,0,negative
dont slay inta serious nahi leneka segment ko segment pure fun 80 nonsens cast make sens,0,negative
kutta bhonkn lga bhaiyo firs sale gale patt,0,negative
world cup mein mard nahi khusr gae hein jo larna nahi twitter per k sath talian bajana jaant hein,0,negative
bhaijaan ji pleas mein apka bahot bahot bada fan hoon pleas meri jindagi bachalijiy pleas mein,1,positive
scene sahil propos vedika dialogu magic inde coz nt heard,2,neutral
bhauji tohra ka haal ba tu kahe ludhak gailu eka matlab akhilesh bha,1,positive
scratch kfc ke bhi auqaat nahi rahe today s defeat pesay doob gaye sarfi ke chakaar main andaay,0,negative
dsscampaignagainstdrugabus papa ji aj mera p hd entranc exam tha ap ji ki rehmt se bahut acha ho gy,2,neutral
muslim sab e qadar mubarak,2,neutral
rj kai bar product khrab nhi hota logo ki choic khrab hoti hai product ki,1,positive
aaiy aapka intezaar tha damn kitna khoobsurat hai yeh ladka mashallah ca nt wait new season,2,neutral
zeeshan09 love u bhaijan father son bharat iambharat best pic entir promot mashallah,2,neutral
saheb tera jat talbani jess harqat kyu kar tahe masum logo ko kyu marta tab tera ammi kaha mar jate,0,negative
